Name,Symbol,Price (in $),Change,Volume (in millions),Market Cap (in billions),P/E Ratio
Schlumberger Limited,SLB,35.57,-0.46,9.332,53.137,12.18
"Core Scientific, Inc.",CORZ,15.86,0.31,9.642,4.844,
CSX Corporation,CSX,32.47,-0.38,9.247,60.533,19.92
UiPath Inc.,PATH,11.4,-0.29,9.191,6.099,380.0
Starbucks Corporation,SBUX,81.9,-0.46,9.718,93.096,35.45
"Avidity Biosciences, Inc.",RNA,44.74,3.7,12.945,5.756,
Teva Pharmaceutical Industries Limited,TEVA,19.93,0.04,9.14,22.863,
"Rubrik, Inc.",RBRK,74.5,-3.39,9.578,14.711,
"American Eagle Outfitters, Inc.",AEO,18.34,-1.27,9.227,3.178,17.98
Unity Software Inc.,U,43.55,0.15,9.073,18.401,
Bitdeer Technologies Group,BTDR,16.15,2.04,9.318,3.454,
BP p.l.c.,BP,33.89,-0.58,8.978,88.845,135.56
Galaxy Digital,GLXY,29.7,0.83,9.395,11.176,
Lam Research Corporation,LRCX,116.96,1.38,11.01,148.027,28.18
Uranium Energy Corp.,UEC,11.87,-0.18,8.953,5.274,
"Figma, Inc.",FIG,53.07,-2.89,8.519,25.992,
Walmart Inc.,WMT,103.49,0.84,8.474,825.11,39.05
GameStop Corp.,GME,24.93,0.08,9.222,11.152,31.16
"C3.ai, Inc.",AI,16.43,0.03,8.431,2.26,
Alcoa Corporation,AA,33.24,0.95,8.304,8.606,7.84
"Host Hotels & Resorts, Inc.",HST,17.6,-0.08,8.215,12.257,18.72
U.S. Bancorp,USB,49.13,-0.19,8.103,76.456,11.75
Exxon Mobil Corporation,XOM,112.16,0.02,8.057,478.166,15.93
Energy Fuels Inc.,UUUU,11.93,-0.6,8.224,2.758,
"Altria Group, Inc.",MO,66.65,0.29,7.958,111.965,12.89
The Western Union Company,WU,8.4,-0.09,7.886,2.713,3.18
"Merck & Co., Inc.",MRK,82.81,-2.34,7.839,206.841,12.76
Haleon plc,HLN,9.81,-0.06,7.826,44.104,21.8
General Motors Company,GM,58.5,-0.21,7.82,55.697,8.93
Truist Financial Corporation,TFC,45.2,-0.1,7.817,58.283,12.25
"ImmunityBio, Inc.",IBRX,2.6,0.01,7.702,2.458,
The Charles Schwab Corporation,SCHW,93.54,-0.4,7.701,169.796,25.15
Citigroup Inc.,C,99.44,0.62,7.673,183.059,14.69
The Walt Disney Company,DIS,115.96,-1.12,7.636,208.488,18.18
"Lucid Group, Inc.",LCID,19.27,-0.62,7.564,5.923,
Turkcell Iletisim Hizmetleri A.S.,TKC,5.58,0.05,7.46,4.862,15.94
TMC the metals company Inc.,TMC,5.52,0.35,7.352,2.913,
