name,location,price (in lacs),area (in sqft),bhk,starred
gemini aster,"thalambur, omr
·
rera",54.9,1260,3,0.0
gemini aster,"thalambur, omr
·
rera",37.9,870,2,0.0
gemini aster,"thalambur, omr
·
rera",35.9,840,2,0.0
"agaram, perambur, chennai north","agaram, perambur",59.0,1150,2,0.0
sangamithra avenue,guduvancheri,50.0,1050,2,0.0
"mugalivakkam, chennai, chennai west",mugalivakkam,120.0,1155,2,0.0
"minjur, chennai, chennai north",jur,38.0,1918,2,0.0
new apartment,medavakkam,75.0,1133,3,0.0
new apartment,rajakilpakkam,85.0,1326,3,0.0
new apartment,sembakkam,84.0,1325,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",77.5,900,2,0.0
casagrand pavilion,"thalambur, omr",79.5,1050,2,3.8
prem enclave,"anbu nagar, valasaravakkam",83.56,880,2,0.0
gandhi nagar,adyar,150.0,816,2,0.0
prema,chitlapakkam,81.0,1248,3,0.0
sri sai garden hill view,"perumbakkam, 
·
rera",84.5,1000,3,0.0
"sudarshan flats, radha nagar",chromepet,60.0,801,2,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",73.21,950,2,0.0
plaza elite acres,"perumbakkam, 
·
rera",39.9,637,2,0.0
plaza elite acres,"perumbakkam, 
·
rera",39.5,627,2,0.0
srb coral house,perambur,79.95,1066,3,0.0
new flat,kolathur,41.85,685,2,0.0
vijayasree sanjeevi apartments,thoraipakkam,45.0,731,2,0.0
"vettuvankeni, ecr, chennai south","vettuvankeni, ecr",260.0,2300,4,0.0
ttm lotus avenue,,34.0,700,2,0.0
on request,guduvancheri,32.9,618,2,0.0
revolution one,padur,43.9,663,2,0.0
shirdi graha,west mambalam,88.0,1000,2,0.0
casagrand luxeria,"navalur, 
·
rera",235.0,2241,4,0.0
"red hills, chennai, chennai north",red hills,41.86,1000,2,0.0
"red hills, chennai, chennai north",red hills,31.85,601,1,0.0
"grt apartment, 3rd avenue","banu nagar, ambattur",47.0,841,2,0.0
new flat,kolathur,43.12,703,2,0.0
vijay raja exurb,,25.0,515,2,3.6
"akshara apartment, nallathambi nagar","ranganathapuram, medavakkam",50.0,905,2,0.0
emami tejomaya,"navalur, 
·
rera",96.0,1158,2,4.0
kg house of champions,"perumbakkam, 
·
rera",49.0,840,2,0.0
ceebros sankalp,alwarpet,395.0,1860,3,0.0
kg house of champions,"perumbakkam, 
·
rera",50.0,835,2,0.0
steps stone vatsa,kattupakkam,72.0,1055,3,0.0
122 west by shriram,mangadu,47.6,850,2,0.0
raj palani residency,"dhandeeswaram, velachery",177.0,1576,3,0.0
shriram park 63,"perungalathur, 
·
rera",160.0,2135,4,3.8
fair field,kilpauk,209.0,1430,3,0.0
navganesh eden,"ayagapuram, ambattur",41.66,683,2,0.0
"purasaiwakkam, chennai, chennai central",purasaiwakkam,110.00000000000001,1197,6,0.0
"sembakkam, chennai, chennai south",sembakkam,190.0,1740,4,0.0
on request,kolathur,41.66,683,2,0.0
shriram park 63,"perungalathur, 
·
rera",85.13,1135,2,3.8
"iyyappanthangal, chennai, chennai west",iyyappanthangal,90.0,1270,3,0.0
livehomes,adyar,227.0,1390,3,0.0
livehomes,pallikaranai,58.7,995,2,0.0
"1st floor, karthick nest",t nagar,90.0,900,2,0.0
dwaraka flats,adambakkam,84.19,842,2,0.0
dwaraka flats,adambakkam,109.00000000000001,1093,3,0.0
srb ruby homes,perambur,74.0,987,2,0.0
"poonamallee, chennai, chennai west",poonamallee,56.5,500,2,0.0
urbando orion,adambakkam,138.0,1114,3,0.0
maharani maaligai,mogappair west,55.0,786,2,0.0
livehomes,madipakkam,69.2,815,2,0.0
kanish villa,"kodambakkam, gst road",62.0,3600,2,0.0
vgk sai hardik,"east tambaram, 
·
rera",55.0,1228,2,0.0
fomra hues,"porur, 
·
rera",114.99999999999999,1525,3,4.0
featherlite vaikuntam,guduvancheri,75.0,1317,3,3.9
tower of adyar by nahar,"adyar, 
·
rera",330.0,2380,4,3.9
sri sai resident,perumbakkam,89.0,1000,3,0.0
madhav apartments,"balaji nagar, royapettah",90.0,750,2,0.0
jains brindavan,west mambalam,85.0,880,2,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",96.0,1400,3,0.0
livehomes,kottivakkam,94.44,969,2,0.0
livehomes,adambakkam,92.61,842,2,0.0
livehomes,adambakkam,120.0,1093,3,0.0
livehomes,anna nagar west,214.0,1300,3,0.0
"swathi apartment, appar street extension","new perungalathur, perungalathur",45.0,1116,2,0.0
livehomes,west mambalam,149.0,1076,3,0.0
"avadi, chennai, chennai north",avadi,36.4,800,2,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,88.0,800,3,0.0
"avadi, chennai, chennai north",avadi,54.9,1200,3,0.0
"kattupakkam, chennai, chennai west",kattupakkam,145.0,1140,3,0.0
excel vijay jagat,thoraipakkam,55.0,820,2,0.0
shri vana durga apartment,madambakkam,60.0,1241,2,0.0
shri vana durga apartment,madambakkam,28.0,617,1,0.0
s c giri homes,korattur,47.0,1000,3,0.0
amarprakash palm riviera chennai,thirumudivakkam,53.0,1316,3,0.0
