name,location,price (in lacs),area (in sqft),bhk,starred
"gerugambakkam, chennai, chennai west",gerugambakkam,114.99999999999999,800,3,0.0
shree varu homes gruham,"alagiri nagar, gst road",152.0,1260,3,0.0
new flat,ayanambakkam,56.11,968,2,0.0
rental income house,iyyappanthangal,114.99999999999999,800,5,0.0
alankar horizon,rajakilpakkam,73.46,1150,2,0.0
on request,perambur,126.0,1396,3,0.0
on request,perambur,120.0,1338,3,0.0
happy homes,"kallikuppam, ambattur",86.11,1327,3,0.0
ayana 95,ayanambakkam,110.00000000000001,1143,2,0.0
purva somerset house,"dy,  south
·
rera",409.99999999999994,1968,3,3.4
new flat,ayanambakkam,83.49,1440,3,0.0
srb ruby homes,perambur,80.0,1076,3,0.0
prabha homes blissful,madipakkam,118.0,1187,3,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",82.48,848,2,0.0
on request,chromepet,96.01,910,2,0.0
prem enclave,valasaravakkam,83.5,880,2,0.0
vriddhi,t nagar,463.0,2174,3,0.0
babu flats,nanmangalam,95.7,1236,3,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",187.0,1464,3,3.8
lakshmi nivas,madambakkam,69.48,1037,2,0.0
"west mambalam, chennai, chennai south",west mambalam,450.0,2153,3,0.0
akshaya level up,nungambakkam,465.00000000000006,2061,3,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",87.0,900,2,0.0
sri sai swarna bhoomi,"thalambur, omr",85.63,1000,2,0.0
vgk summer garden,"vengaivasal, medavakkam
·
rera",68.0,1052,2,0.0
"kovur, chennai, chennai west",kovur,96.0,800,3,0.0
rainbow chetna,"perambur, 
·
rera",90.0,1040,2,0.0
rainbow chetna,"perambur, 
·
rera",121.0,1338,3,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",215.0,1513,3,3.8
navins hanging gardens,"valasaravakkam, 
·
rera",155.0,1012,2,3.8
happy homes,"kallikuppam, ambattur",74.41,1155,3,0.0
happy homes,"kallikuppam, ambattur",74.41,1151,3,0.0
on request,"agaramthen, vandalur kelambakkam road",35.0,700,2,0.0
brigade xanadu,"mogappair, 
·
rera",69.0,682,1,4.0
new flat,ayyapakkam,56.87,875,2,0.0
new flat,"kathirvedu, puzhal",58.0,861,2,0.0
srb builders,"sankarapuram, sithalapakkam",56.59,986,2,0.0
srb builders,sithalapakkam,54.33,953,2,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,110.00000000000001,900,3,0.0
appaswamy altezza,"perungudi, 
·
rera",330.0,1836,3,4.2
"vengambakkam, chennai, chennai south",vengambakkam,125.0,1034,4,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,130.0,950,3,0.0
dra d elite,"ganallur, 
·
rera",106.0,1058,2,3.4
dharman's divine,"sankarapuram, sithalapakkam",57.89,1045,2,0.0
new flats,kolathur,85.0,1203,3,0.0
new flat,ayanambakkam,53.94,931,2,0.0
new flat,ambattur,61.37,884,2,0.0
kurinji villa,gerugambakkam,112.99999999999999,900,3,0.0
coralbay,thiruvanmiyur,286.0,1525,3,0.0
ayana 95,ayanambakkam,90.0,1022,2,0.0
urbanrise codename new porur,"thirumazhisai, 
·
rera",45.0,633,1,3.8
hi living seranity,madhavaram,76.0,1022,2,0.0
new flat,ayanambakkam,59.0,1071,2,0.0
cj flats,pallavaram,68.0,1008,2,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,130.0,900,3,0.0
"kovur, chennai, chennai west",kovur,95.0,800,3,0.0
"sikkarayapuram, chennai, chennai west",sikkarayapuram,138.0,800,3,0.0
"r foundation,poonamallee",poonamallee,49.99,825,2,0.0
new flat,ambattur,58.99,1070,2,0.0
on request,"agaramthen, vandalur kelambakkam road",31.7,634,2,0.0
"svf majestic flat,ambattur,chennai north",ambattur,55.0,1026,3,0.0
ramkhar homes's orchid,kolathur,78.68,1049,2,0.0
lancor infinys,"keelkattalai, 
·
rera",96.89,1020,2,0.0
on request,"ayagapuram,  south",41.66,682,2,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",135.0,1005,2,3.8
navins hanging gardens,"valasaravakkam, 
·
rera",187.0,1465,3,3.8
navins hanging gardens,"valasaravakkam, 
·
rera",134.0,1012,2,3.8
new flat,"kallikuppam, ambattur",61.15,882,2,0.0
new flat,ambattur,61.0,882,2,0.0
new flat,ambattur,62.85,904,2,0.0
new flat,ambattur,62.89,906,2,0.0
new flat,"kallikuppam, ambattur",61.35,881,2,0.0
e residences,"nungambakkam, 
·
rera",175.0,600,1,4.0
"gerugambakkam, chennai, chennai west",gerugambakkam,99.0,800,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,165.0,922,3,0.0
sri smiley house,perambur,95.0,1302,3,0.0
"kovur, chennai, chennai west",kovur,94.95,770,3,0.0
lucky flats,"mangala nagar, porur",72.0,825,2,0.0
new flat,kolathur,50.02,790,2,0.0
"kovur, chennai, chennai west",kovur,120.0,930,3,0.0
babu enclave,"rose nagar, kovilambakkam",98.02,1236,3,0.0
babu flats,kovilambakkam,97.56,1260,3,0.0
babu flats,"rose nagar, kovilambakkam",95.7,1165,3,0.0
viji flats,"rose nagar, kovilambakkam",90.23,1222,3,0.0
babu flats,"rose nagar, kovilambakkam",84.53,1161,3,0.0
babu flats,"veeramani nagar, kovilambakkam",90.2,1160,3,0.0
somu residency,"rose nagar, kovilambakkam",96.72,1223,3,0.0
sri sai resident,perumbakkam,97.6,920,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,94.5,960,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,94.0,1200,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,82.5,1000,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,83.0,1001,3,0.0
"kovur, chennai, chennai west",kovur,138.0,801,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,120.0,1200,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,130.0,1000,3,0.0
on request,chromepet,96.0,908,2,0.0
udhayam saimugil,chitlapakkam,125.0,1618,3,0.0
udhayam saimugil,chitlapakkam,125.0,1648,3,0.0
on request,chromepet,96.0,910,2,0.0
"home royals,new","kamakoti nagar, valasaravakkam",98.0,1206,3,0.0
new flat,"vanasakthi nagar, kolathur",69.0,999,3,0.0
"mugesh keerthi homes,new",iyyappanthangal,69.95,1184,3,0.0
r foundation,poonamallee,47.09,772,2,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",98.5,950,3,0.0
on request,kolathur,85.7,1026,3,0.0
sri rathis luxury,"kolathur, 
·
rera",81.0,722,2,0.0
babu residency,"rose nagar, kovilambakkam",91.0,1219,3,0.0
babu residency,"veeramani nagar, kovilambakkam",92.5,1236,3,0.0
viji residency,"rose nagar, kovilambakkam",98.79,1218,3,0.0
babu residency,"s kolathur, kovilambakkam",98.0,1158,3,0.0
new flat,kolathur,81.61,1201,3,0.0
new flat,"kallikuppam, ambattur",61.12,881,2,0.0
new flat,"kallikuppam, ambattur",61.36,883,2,0.0
livehomes,tambaram,75.41,888,2,0.0
ramkhar homes's crescent,"virugambakkam, arcot road",118.0,1124,2,0.0
madhuri nagar,gerugambakkam,120.0,970,3,0.0
casagrand pavilion,"thalambur, omr",79.5,900,2,3.8
scc homes,madambakkam,60.02,967,2,0.0
scc homes,"semmancheri, omr",76.84,1188,2,0.0
scc homes,"semmancheri, omr",75.21,1162,2,0.0
scc homes,madipakkam,128.0,1418,3,0.0
vinayagaburam,kolathur,50.09,796,2,0.0
alankar horizon,medavakkam,83.17,1250,2,0.0
alankar horizon,"camp road, selaiyur",108.0,1600,3,0.0
alankar horizon,"camp road, selaiyur",83.17,1250,2,0.0
alankar horzion,east tambaram,86.63,1300,2,0.0
on request,medavakkam,76.52,1250,2,0.0
"perumbakkam, chennai, chennai south",perumbakkam,96.5,900,3,0.0
sai thulasi,ayanambakkam,56.2,969,2,0.0
prestige bella vista,porur,140.0,1505,2,4.3
new flat,ayanambakkam,56.21,968,2,0.0
new flat,ayanambakkam,57.95,1001,2,0.0
new flat,ayyapakkam,58.0,1001,2,0.0
new flat,ayyapakkam,53.92,932,2,0.0
new flat,ayyapakkam,83.58,1441,3,0.0
new flat,ayanambakkam,56.0,968,2,0.0
new flat,ayyapakkam,53.89,931,2,0.0
new flat,ayanambakkam,53.9,930,2,0.0
new flat,ayanambakkam,82.69,1425,3,0.0
aparment,"kallikuppam, ambattur",74.41,1145,3,0.0
kishore flats,rajakilpakkam,79.73,1190,2,0.0
kishore flats,rajakilpakkam,73.36,1095,2,0.0
kishore flats,rajakilpakkam,81.07,1210,2,0.0
kishore flats,rajakilpakkam,72.69,1085,2,0.0
vishnu palmera garden,rajakilpakkam,76.67,983,2,0.0
vishnu elinor flats,sembakkam,77.61,995,2,0.0
vishnu aravind villas,vengambakkam,120.0,1866,4,0.0
vishnu shivanya villas,"agaramthen, vandalur kelambakkam road",250.0,2900,4,0.0
vishnu shivanya villas,vengambakkam,270.0,3376,4,0.0
vishnu shivanya villas,"mappedu, selaiyur",250.0,2900,4,0.0
vishnu sky towers,madambakkam,68.95,985,2,0.0
"kolathur, chennai, chennai north",kolathur,135.0,930,3,0.0
new flat,iyyappanthangal,67.0,957,2,0.0
new flat,iyyappanthangal,79.95,1181,3,0.0
keerthi homes,iyyappanthangal,67.5,957,2,0.0
sai keerthi,iyyappanthangal,78.0,1189,3,0.0
keerthi homes,iyyappanthangal,67.2,950,2,0.0
aruna flats,"apuram,  south",88.7,1232,3,0.0
keerthi homes,iyyappanthangal,67.25,957,2,0.0
keerthi homes,iyyappanthangal,67.15,950,2,0.0
arshiya,kattupakkam,99.5,1411,3,0.0
sai keerthi,iyyappanthangal,67.7,970,2,0.0
new flat,kolathur,50.0,798,2,0.0
vinayagaburam,kolathur,50.0,796,2,0.0
happy homes,"kallikuppam, ambattur",74.41,1150,3,0.0
navganesh eminent,"veeraragahavalu nagar, lakshmipuram",55.69,884,2,0.0
happy homes,ambattur,59.49,860,2,0.0
happy homes,"kallikuppam, ambattur",74.41,1149,3,0.0
happy homes,"kallikuppam, ambattur",59.49,858,2,0.0
jayam sri sai garden hill view,"perumbakkam, 
·
rera",95.0,1000,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,95.0,1200,3,0.0
"guduvancheri, chennai, chennai south",guduvancheri,55.0,1005,2,0.0
urbanrise codename new porur,"thirumazhisai, 
·
rera",72.0,1065,3,3.8
brigade xanadu,"mogappair, 
·
rera",135.0,1062,2,4.0
brigade xanadu,"mogappair, 
·
rera",64.5,682,1,4.0
sidharth crown,"madhavaram, 
·
rera",75.0,974,2,0.0
"perungalathur, chennai, chennai south",perungalathur,134.0,1112,3,0.0
ayana 95,ayanambakkam,96.0,1057,2,0.0
rainbow chetna,"perambur, 
·
rera",96.0,1040,2,0.0
unity kingdom,medavakkam,83.0,1111,2,0.0
vgk sri sai enclave,"west tambaram,  south",55.0,917,2,0.0
vgk unity kingdom,"medavakkam, 
·
rera",84.0,982,2,0.0
shriram park 63,"perungalathur, 
·
rera",140.0,1390,3,3.8
grand adore new,madipakkam,111.00000000000001,1344,3,0.0
on request,thirumazhisai,69.1,1065,3,0.0
on request,thirumazhisai,67.41,1036,2,0.0
"sai phaadham, new flat",poonamallee,103.0,1476,3,0.0
mukesh keerthi homes,poonamallee,68.49,1161,3,0.0
on request,madhavaram,112.00000000000001,1457,3,0.0
on request,madhavaram,76.23,1089,2,0.0
new flats,kolathur,85.0,1206,3,0.0
babu flats,kovilambakkam,84.53,1160,3,0.0
"kundrathur, chennai, chennai south",kundrathur,110.00000000000001,1200,2,0.0
livehomes,west mambalam,134.0,900,2,0.0
rhea apartments,guduvancheri,53.71,938,2,0.0
adhithya enclave,kovilambakkam,91.5,1160,3,0.0
c c homes,nanganallur,152.0,1270,3,0.0
"kundrathur, chennai, chennai south",kundrathur,110.00000000000001,1100,2,0.0
vgk unity kingdom,"medavakkam, 
·
rera",91.0,1268,3,0.0
new flat,ayappakkam,53.91,931,2,0.0
new flat,ambattur,83.5,1441,3,0.0
scc homes,thiruvanmiyur,172.0,1136,2,0.0
sri smiley house,perambur,95.0,1304,3,0.0
"royal homes,new flat","anbu nagar, valasaravakkam",98.0,1205,3,0.0
livehomes,pallikaranai,61.73,870,2,0.0
new flat,ayanambakkam,58.89,1072,2,0.0
purva somerset house,"dy,  south
·
rera",360.0,1968,3,3.4
purva somerset house,"dy,  south
·
rera",375.0,1968,3,3.4
purva somerset house,"dy,  south
·
rera",447.0,3501,4,3.4
sidharth crown,"madhavaram, 
·
rera",112.00000000000001,1457,3,0.0
rainbow chetna,"perambur, 
·
rera",128.0,1338,3,0.0
vgk summer garden,"vengaivasal, medavakkam
·
rera",81.53,1315,2,0.0
pacifica aurum,"padur, 
·
rera",75.0,1361,2,3.8
vriddhi,t nagar,395.0,1841,3,0.0
navins hanging gardens,"valasaravakkam, 
·
rera",160.0,974,2,3.8
vinayagaburam,kolathur,43.1,706,2,0.0
vinayagaburam,kolathur,41.6,682,2,0.0
navganesh eden,"ayagapuram, ambattur",71.98,1180,3,0.0
vgk summer garden,"vengaivasal, medavakkam
·
rera",69.0,1052,2,0.0
vgk unity kingdom,"medavakkam, 
·
rera",84.75,1315,2,0.0
vgk sri sai enclave,"west tambaram,  south",61.0,962,2,0.0
apartment,"banu nagar, ambattur",60.44,930,2,0.0
dhanalakshmi flats,kolapakkam,72.0,1060,2,0.0
lakshya,perungudi,81.25,934,2,0.0
brigade xanadu,"mogappair, 
·
rera",64.0,682,1,4.0
jains archway,kilpauk,380.0,2234,3,0.0
"dheena enclave,new",vanagaram,290.0,1200,5,0.0
on request,kilpauk,380.0,2234,3,0.0
on request,kilpauk,380.0,2236,3,0.0
sai keerthi,iyyappanthangal,67.0,957,2,0.0
vgk unity kingdom,"medavakkam, 
·
rera",80.91,1245,3,0.0
vgk unity kingdom,"medavakkam, 
·
rera",61.55,947,2,0.0
vgk summer garden,"vengaivasal, medavakkam
·
rera",63.73,1028,2,0.0
apartment in guduvancherry,guduvancheri,70.0,936,2,0.0
hi living evita,madhavaram,130.0,1738,3,0.0
hi living evita,madhavaram,105.0,1392,3,0.0
on request,t nagar,476.0,2135,3,0.0
"red hills, chennai, chennai north",red hills,49.96,1000,2,0.0
new flat,iyyappanthangal,80.0,1186,3,0.0
srb builders,"sankarapuram, sithalapakkam",50.56,887,2,0.0
srb builders,"sankarapuram, sithalapakkam",54.4,953,2,0.0
darman's divine,"sankarapuram, sithalapakkam",57.43,1045,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,57.95,1200,2,0.0
on request,guduvancheri,53.71,938,2,0.0
dharman's divine,"sankarapuram, sithalapakkam",57.5,1045,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,59.9,1155,2,0.0
"guduvancheri, chennai, chennai south",guduvancheri,55.5,1010,2,0.0
lakshya,perungudi,80.82,929,2,0.0
keerthi homes,iyyappanthangal,78.25,1186,3,0.0
keerthi homes,iyyappanthangal,67.5,950,2,0.0
